PrimaryPropertyType,Neighborhood,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEnergyUse(kBtu),ElectricityProp,SteamProp,GasProp,Age,BuildingArea,ParkingArea,LargestUsedArea,SecondLargestUsedArea
Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,1.0,25842,Supermarket/Grocery Store,NONE,8518313.0,0.5467041420055826,0.0,0.45329585799441746,55,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,26389,Office,Fitness Center/Health Club/Gym,1208035.375,0.9999996895786268,0.0,0.0,24,1.0,0.0,0.6353404827769146,0.36465951722308537
Small and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,25859,Office,Parking,858780.625,0.7751770133379523,0.0,0.22482225888596405,34,1.0,0.0,1.0,0.0
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,25600,Non-Refrigerated Warehouse,Office,1730600.625,0.7220666524375027,0.0,0.27793356425027294,42,1.0,0.0,0.8046875,0.1953125
Other,MAGNOLIA / QUEEN ANNE,1.0,23169,Manufacturing/Industrial Plant,NONE,222255.9063,1.0,0.0,0.0,51,1.0,0.0,0.4402434287194096,0.0
Small and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,41784,Office,Parking,1294615.25,0.9999998068924338,0.0,0.0,8,0.7989900440359946,0.20100995596400537,0.7989900440359946,0.20100995596400537
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,56884,Non-Refrigerated Warehouse,NONE,1388345.125,0.5657555789667212,0.0,0.43424433099802906,56,1.0,0.0,1.0,0.0
Retail Store,BALLARD,1.0,32810,Retail Store,NONE,2017967.75,0.652274051455976,0.0,0.3477260724310386,27,1.0,0.0,1.0,0.0
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1.0,30989,Self-Storage Facility,NONE,97690.39844,0.9999959214006047,0.0,0.0,36,1.0,0.0,1.0,0.0
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1.0,39952,Self-Storage Facility,NONE,57133.19922,0.9999965130606596,0.0,0.0,101,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,20022,Office,NONE,657385.8125,1.0,0.0,0.0,55,1.0,0.0,1.0,0.0
Distribution Center,MAGNOLIA / QUEEN ANNE,1.0,36498,Distribution Center,Non-Refrigerated Warehouse,520011.8125,0.5338878720182919,0.0,0.4661124885504404,56,1.0,0.0,0.49945202476848044,0.47125869910680035
Distribution Center,MAGNOLIA / QUEEN ANNE,1.0,35946,Distribution Center,Office,469499.8125,0.639529541878145,0.0,0.3604687275567336,48,1.0,0.0,0.885912201635787,0.11408779836421298
Small and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,30152,Office,Parking,845044.125,0.9988448828041968,0.0,0.0011549692745334453,9,0.8116211196603874,0.18837888033961264,0.8352348102945079,0.16476518970549217
Small and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,22365,Office,NONE,727385.8125,1.0,0.0,0.0,37,1.0,0.0,0.9665548848647441,0.0
Small and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,30172,Office,NONE,904059.875,1.0,0.0,0.0,22,1.0,0.0,1.0,0.0
